Question,Expected Pages (Original),Expected Pages (Adjusted),Retrieved Pages,Success
כמה שעות לפני פתיחת ישיבה צריך להודיע מזכיר הכנסת על הכללת שאילתה רגילה בסדר היום?,[45],[76],"[71, 71, 50, 50, 79]",False
מהו המספר המרבי של מילים המותר בשאילתה דחופה?,[48],[79],"[80, 80, 77, 77, 5]",False
לאחר כמה זמן נכנסת לתוקף התפטרותו של יושב ראש הכנסת?,[6],[37],"[51, 51, 38, 38, 35]",False
כמה חברי כנסת נדרשים כדי לדרוש את כינוס הכנסת בתקופת הפגרה?,[17],[48],"[48, 48, 50, 50, 71]",True
מה משך הזמן המקסימלי שניתן להקצות לנאום בדיון אישי (ללא אישור מיוחד)?,[22],[53],"[54, 54, 82, 82, 119]",False
כמה ימים יש לשר להכין תשובה לשאילתה רגילה?,[46],[77],"[77, 77, 83, 83, 80]",True
מהו המספר המרבי של חברים בוועדת חקירה פרלמנטרית?,[163],[194],"[13, 13, 192, 192, 195]",False
תוך כמה זמן צריכה ועדת הכנסת לסיים את דיוניה בערעור על החלטה לפסול חבר כנסת מלשמש כיושב ראש הכנסת?,"[4, 5]","[35, 36]","[202, 37, 37, 93, 93]",False
כמה הצעות להביע אי-אמון בממשלה יכולה להגיש בכל מושב סיעה המונה פחות משבעה חברים?,"[33, 38]","[64, 69]","[70, 70, 64, 64, 72]",True
כמה זמן מוקצב לסיעה למסור הודעה בסיום הצבעה בדיון בנושא שאינו הצעת חוק אם לא השתתפה בו?,[24],[55],"[129, 129, 56, 56, 143]",False
למי צריך להגיש כתב התפטרות סגן יושב ראש הכנסת לעומת יושב ראש הכנסת?,"[6, 7]","[37, 38]","[46, 46, 38, 38, 38]",True
מי הגוף המאשר העברה של הצעת חוק פרטית לדיון מוקדם לעומת מי שמאשר דיון בהצעה דחופה לסדר היום?,"[56, 85]","[87, 116]","[129, 129, 89, 89, 127]",False
באילו נסיבות יושב ראש ישיבת מליאה יכול להוציא חבר כנסת לעומת יושב ראש ועדה?,"[30, 155]","[61, 186]","[286, 286, 175, 175, 40]",False
מה ההבדל בתפקיד ממלא מקום ארעי בוועדה לעומת ממלא מקום קבוע בנוגע לניהול הישיבה?,"[133, 134]","[164, 165]","[165, 165, 165, 165, 173]",True
מי קובע את השם של סיעה חדשה שנוצרה ממיזוג או התפלגות?,"[9, 11]","[40, 42]","[42, 42, 41, 41, 42]",True
מי מוסמך להחליט על טענת 'נושא חדש' בוועדה שמכינה חוק לקריאה שנייה ושלישית?,[101],[132],"[134, 134, 134, 134, 134]",False
היכן יכולה להיות מוגשת 'הסתייגות לנושא' וכיצד מצביעים עליה?,"[105, 109]","[136, 140]","[137, 137, 141, 141, 139]",False
"איזו ועדה מטפלת בנושאי דיור ושיכון, ואיזו ועדה מטפלת במסחר ותעשייה?",[127],[158],"[159, 159, 190, 190, 161]",False
מתי ניתן למזג שתי הצעות חוק לפי התקנון?,"[93, 100]","[124, 131]","[119, 119, 115, 115, 125]",False
מהו התהליך לבחירת נציג הכנסת לוועדה למינוי היועץ המשפטי לממשלה אם יש רק מועמד אחד?,[76],[107],"[107, 107, 101, 101, 104]",True
מהם תפקידיו וסמכויותיו של יושב ראש הכנסת על פי התקנון?,[7],[38],"[40, 40, 207, 207, 170]",False
אילו נושאים נדונים באופן 'סיעתי' בכנסת?,"[17, 21]","[48, 52]","[54, 54, 294, 294, 69]",False
כיצד מתבצעת הצבעה שמית במליאת הכנסת?,"[26, 27]","[57, 58]","[58, 58, 176, 176, 141]",True
מהן הדרכים שבהן חבר כנסת יכול לחזור בו מהצעת חוק פרטית שהגיש?,"[118, 119]","[149, 150]","[150, 150, 152, 152, 150]",True
מה כוללים כללי ההתנהגות של חברי כנסת במליאה?,[29],[60],"[276, 276, 225, 225, 61]",False
מהן העילות שבגינן יושב ראש ועדה יכול לקבוע כי פרוטוקול הוועדה יהיה חסוי?,[153],[184],"[185, 185, 186, 186, 184]",True
כיצד מוקמת ופועלת ועדה משותפת לכמה ועדות?,"[141, 142]","[172, 173]","[173, 173, 48, 48, 175]",True
איך מעריכים ומטפלים בעלות התקציבית של הצעת חוק פרטית במהלך החקיקה?,"[113, 114, 115]","[144, 145, 146]","[145, 145, 146, 146, 127]",True
"באילו נושאים מוסמכות ועדת הכנסת, ועדת החוקה והוועדה לביקורת המדינה ליזום הצעות חוק מטעמן?",[95],[126],"[127, 127, 171, 171, 162]",False
מהו תהליך ההצבעה בכנסת על מספר השופטים בבית המשפט העליון?,"[77, 78]","[108, 109]","[109, 109, 58, 58, 101]",True
מה עושים במליאה במקרה שבו נערכת הצבעה בהרמת ידיים והתוצאות אינן ברורות ליושב ראש הישיבה?,[27],[58],"[176, 176, 58, 58, 82]",True
